P02768	10970456.3
UNKNOWN	1786360.843
P02647	1105006.81
cont|000137	364734.1663
Q9UKX2	282626.7962
P25789	272985.6443
Q92496	246049.4739
Q8N6C8	242199.2695
Q86UX7	237090.2244
Q7Z7G0	233812.8796
Q76LX8	231002.5427
Q53FA7	223108.4302
P83593	183804.6003
P78527	180375.9249
P02787	152552.9533
P35900	147008.6095
P36578	145604.5433
P35579	145552.095
Q9Y490	144845.9648
Q16610	144560.0509
P32119	141435.1058
Q15149	141248.3042
P31327	140391.641
P01857	139684.0449
Q9P2E9	139108.6169
Q14118	136898.9209
P25787	130425.7603
P24821	128382.4374
Q96M69	128367.2348
Q8WZ42-2	121439.2559
P22102	119416.9461
P62906	117988.6219
Q9Y2T3	115358.2297
Q562R1	111782.2638
P00738	99317.56455
P31948	94335.13045
Q6YN16	92107.97064
P0DJI9	91080.65352
Q9HDC9	90151.93196
P26038	87664.69391
P08294	86265.5222
P07996	83378.91419
Q13822-3	81823.11435
Q9UNN8	81190.73895
Q9NPH3	77424.04436
P06331	75724.5676
P05787	73588.09455
Q92841	71704.60639
P20742	71079.79172
Q9ULV4	70769.14885
Q9UBX5	69712.57015
P05062	69489.74663
P30043	69133.43925
P01834	69007.68599
P04264	65909.97683
P24046	63943.37929
Q5SGD2	63876.27487
Q16719	63498.44181
P02679	63259.57319
P04075	62263.38621
Q00610	62022.65081
P39060	60114.1872
Q14204	58611.84207
P20930	58261.16682
Q7Z494	58260.74727
Q04756	54870.98214
P49747	53480.13282
P07195	53086.96055
P83731	52799.3263
P02730	52422.34201
P13647	51442.67939
Q92954	50141.95416
Q9NPH3-5	49407.17554
P22897	48988.14451
P02743	48784.04696
Q9BQ52	47986.30712
P02763	47753.20951
Q01518	47429.50889
Q86SQ4	47196.02859
Q92736-2	45014.18718
P78417	44846.08421
Q15582	43435.73267
Q7Z7M0	42760.60717
P01859	42067.62459
P13727	41570.26129
P23141	41160.64856
P01742	40726.91673
Q15369	39237.30501
P06732	39162.60879
P62258	38795.24005
Q9BYE9	38136.11127
Q8WU39	37464.84778
P55285	37376.87374
P54136	36843.02875
P0C0L5	36693.08201
P01605	35813.21728
Q14624-2	35095.78053
P31146	34845.19827
P01876	34639.61704
