,peptidevalue_sum.Protein,hpopVar
685,Q7Z7L1,8342.061553
718,Q96NL6,8306.086131
128,DECOY_P27169,8191.418563
570,P51610,8119.620397
675,Q6EMK4,8116.453252
677,Q6UY14,8039.311938
448,P12318,8025.946688
614,Q01082,7684.728612
409,P07814,7585.156006
510,P25705,7572.250538
529,P31150,7499.427287
387,P06311,7468.019851
560,P47929,7450.578755
564,P49368,7369.100599
44,DECOY_P02647,7358.340106
744,Q9NYQ8,7277.164773
121,DECOY_P22352,7258.272286
361,P04211,7148.504148
759,Q9Y2M0,7020.638838
273,P01612,6720.373932
584,P59666,6683.820034
767,RRRRRsp|P21506|ZNF10_HUMAN,6682.598487
741,Q9NQ79,6533.537623
486,P20929-3,6511.809862
402,P07333,6454.824054
766,Q9Y6Z7,6375.127135
716,Q96KN2,6362.066021
719,Q96PD5,6357.511538
531,P31939,6191.760197
697,Q8NBP7,6148.335632
455,P13671,6099.101588
535,P33908,6086.73822
485,P20851,5991.776483
574,P53396,5985.751178
651,Q14CB8-6,5965.208509
382,P05543,5897.950748
133,DECOY_P32119,5896.07049
217,O15078,5870.585041
108,DECOY_P14625,5804.297653
609,P98155,5792.145468
554,P42785,5775.558351
186,DECOY_Q8WZ42-2,5750.97516
296,P01772,5748.420279
631,Q12805,5637.248147
655,Q15166,5593.490607
351,P04040,5584.0924
520,P27918,5574.403556
236,P00505,5542.684719
393,P06576,5514.993683
594,P62424,5508.00461
514,P26599,5499.217249
633,Q12913,5486.628055
255,P01024,5466.721387
104,DECOY_P13591,5407.861935
232,O95980,5379.299842
244,P00746,5356.270213
527,P30101,5334.694096
501,P23297,5327.18133
219,O43847,5322.177949
758,Q9Y2H5,5269.991508
403,P07339,5220.243126
568,P49908,5191.581081
298,P01776,5183.82546
534,P33151,5169.373644
176,DECOY_Q5T013,5160.867684
451,P13473,5084.105599
552,P42166,5061.624804
557,P43490,4984.407701
619,Q02985-2,4973.83559
618,Q02985,4957.704575
768,RRRRRsp|Q96MY7|F161B_HUMAN,4954.256248
572,P52209,4930.185643
412,P08123,4846.236347
184,DECOY_Q8IY81,4836.465528
748,Q9UGM5,4815.783218
582,P55290-4,4769.893603
286,P01719,4764.341575
168,DECOY_Q14353,4684.435403
688,Q86UK5,4669.878835
167,DECOY_Q14289,4631.317697
380,P05362,4627.39189
420,P08571,4585.797288
443,P11597,4549.190208
536,P34896,4543.970093
340,P02774,4495.55431
313,P02452,4450.799807
95,DECOY_P10586-2,4444.580588
581,P55290,4440.830509
352,P04066,4422.741779
381,P05452,4410.15275
312,P02042,4398.622381
3,B9A064,4398.352182
162,DECOY_Q13201,4365.845025
479,P19652,4334.912505
306,P01860,4318.73844
500,P23229,4301.163539
551,P41222,4271.066429
556,P43251,4269.019256
507,P24592,4209.458582
757,Q9Y2G3,4188.756352
724,Q99683,4171.568955
673,Q5T013,4151.164262
129,DECOY_P27918,4137.63208
182,DECOY_Q7Z7L1,4136.972857
541,P35637,4113.545003
691,Q86VP6,4077.844152
573,P52272,4054.096711
537,P34932,4047.823466
713,Q96EY7,4040.413998
742,Q9NRR6,4015.569094
210,O00429,3997.972976
715,Q96IY4,3991.849135
703,Q92520,3983.398463
320,P02656,3980.288679
198,DECOY_Q9H8L6,3919.315639
468,P16035,3907.155896
465,P15169,3894.114903
734,Q9HBB8,3888.166975
672,Q5SYB0,3856.741683
662,Q15848,3829.8058
726,Q99963-3,3825.382691
106,DECOY_P13796,3742.565387
698,Q8NE71,3696.158648
647,Q14520,3654.111714
578,P55058,3644.396968
701,Q8WZ74,3606.03652
548,P36980,3576.529206
290,P01764,3576.326534
652,Q15058,3568.055936
5,cont|000017,3548.28498
200,DECOY_Q9NPY3,3546.030813
638,Q13418,3534.870792
695,Q8N0V3,3525.11959
660,Q15485,3524.886795
419,P08519,3501.262188
311,P01880,3489.78201
458,P13798,3479.877643
571,P51884,3467.597467
491,P22314,3428.41401
406,P07359,3425.182549
418,P08514,3420.113402
394,P06681,3393.00895
481,P19827,3380.898398
117,DECOY_P20930,3367.740903
297,P01773,3350.055842
82,DECOY_P06744,3347.772547
233,P00352,3342.393046
605,P80748,3334.570919
429,P09871,3295.680704
81,DECOY_P06733,3280.389589
620,Q03591,3256.78965
542,P35858,3249.425122
99,DECOY_P11216,3217.948879
617,Q01581,3210.704829
627,Q08380,3205.38213
674,Q5VT06,3202.747318
386,P06310,3189.759079
427,P09172,3183.733287
433,P0DJI8,3174.816441
603,P80188,3162.952725
639,Q13790,3149.952757
441,P11047,3111.718907
371,P04434,3097.962181
602,P80108,3023.806201
648,Q14624,3017.533482
637,Q13201,2974.003716
421,P08572,2952.639483
364,P04222,2942.699795
598,P69905,2938.495644
558,P43652,2935.786349
577,P55056,2931.553975
462,P14649,2919.468614
398,P06744,2917.053175
575,P54108,2891.384025
505,P24043,2882.213242
519,P27816-2,2876.575982
559,P45378,2836.126957
483,P20618,2833.2215
623,Q06033,2804.097323
211,O00533,2777.82129
446,P12111,2761.842324
149,DECOY_P63104,2756.159631
459,P14151,2727.203294
164,DECOY_Q13822-3,2688.718791
146,DECOY_P55285,2663.998275
545,P36222,2652.299178
453,P13598,2629.548864
597,P68871,2590.338697
369,P04430,2581.151812
550,P40197,2577.85859
492,P22352,2540.662523
428,P09382,2509.226581
368,P04406,2492.042765
249,P00918,2475.534019
86,DECOY_P07237,2451.196
131,DECOY_P31146,2444.239887
517,P26927,2442.901716
333,P02751,2403.962421
430,P09936,2376.850541
499,P23142-4,2363.543313
69,DECOY_P04406,2359.191261
206,DECOY_Q9Y5Y7,2350.089812
120,DECOY_P22314,2341.704244
302,P01833,2323.232428
523,P29622,2322.222098
509,P25311,2295.094119
179,DECOY_Q6PKG0,2270.455913
436,P10643,2245.183555
116,DECOY_P20742,2239.96279
547,P36955,2229.941885
553,P42765,2229.886389
447,P12259,2157.771588
363,P04220,2150.69003
471,P17936,2137.479179
496,P23083,2086.581515
539,P35542,2010.895784
353,P04070,1999.45157
469,P16070,1998.269294
405,P07358,1955.554184
332,P02750,1948.997853
132,DECOY_P31327,1926.124243
498,P23142,1910.206333
301,P01824,1893.91635
518,P27169,1867.591747
144,DECOY_P52209,1861.119925
227,O75882,1858.688656
437,P10809,1851.955356
493,P22792,1842.096934
154,DECOY_Q00610,1814.530833
408,P07602,1807.916043
476,P19256-2,1777.933716
370,P04433,1768.896148
60,DECOY_P02788,1746.965084
379,P05160,1744.185961
367,P04278,1665.74631
444,P11717,1650.753809
474,P18428,1648.203561
114,DECOY_P19827,1596.998474
423,P08637,1591.343709
355,P04114,1586.96108
295,P01771,1570.690525
202,DECOY_Q9P2E9,1560.888436
181,DECOY_Q7Z794,1554.238646
118,DECOY_P21399,1539.606904
362,P04217,1530.24956
338,P02766,1516.716853
243,P00742,1507.817952
67,DECOY_P04180,1495.314335
122,DECOY_P23284,1488.115917
318,P02654,1476.393144
480,P19823,1453.768664
413,P08133,1451.254812
385,P06276,1450.067239
438,P10909,1437.709079
278,P01699,1418.265856
212,O00533-2,1403.107203
235,P00488,1400.038623
358,P04206,1389.870929
277,P01621,1380.585163
283,P01708,1373.853855
407,P07360,1370.947251
401,P07225,1358.988027
404,P07357,1341.154447
347,P03951,1315.007152
414,P08185,1313.672219
422,P08603,1313.204183
395,P06727,1311.904093
264,P01597,1309.565824
376,P05154,1306.684915
292,P01767,1301.169756
275,P01615,1300.885265
51,DECOY_P02748,1295.670666
241,P00739,1293.279896
172,DECOY_Q15366,1281.00914
119,DECOY_P22105,1278.517944
208,O00187,1260.988751
271,P01609,1235.906572
425,P08697,1231.720755
173,DECOY_Q15428,1229.630487
334,P02753,1227.182752
439,P10909-2,1222.389326
388,P06316,1215.508507
85,DECOY_P07225,1203.363828
310,P01877,1202.875254
105,DECOY_P13671,1194.51473
269,P01606,1129.360167
76,DECOY_P05164,1116.340601
293,P01768,1113.541877
266,P01602,1104.361296
337,P02765,1095.204607
224,O75351,1088.482784
356,P04180,1083.603126
378,P05156,1062.376295
259,P01042-2,1061.717329
377,P05155,1058.387196
343,P02786,1046.608124
350,P04004,1042.541665
360,P04208,1037.935305
188,DECOY_Q92626,1036.012035
257,P01034,1022.689824
199,DECOY_Q9HBB8,1015.120666
45,DECOY_P02655,1012.235948
260,P01344,1007.898044
392,P06396,1007.038148
289,P01763,1000.348414
349,P04003,991.2760015
375,P05090,986.2771014
314,P02545,983.5351732
276,P01619,983.3764052
299,P01780,983.2678994
300,P01781,973.9843878
79,DECOY_P06681,971.9597299
253,P01019,970.872356
383,P05546,961.4954566
359,P04207,951.9705391
234,P00450,936.6753988
291,P01766,935.9503372
250,P01008,908.859841
52,DECOY_P02749,898.5567528
348,P03952,888.4767593
242,P00740,875.9949778
261,P01591,873.7081584
282,P01707,871.0771738
165,DECOY_Q14203,869.6828857
195,DECOY_Q99459,863.9171011
97,DECOY_P10809,843.3198988
223,O75144,842.0603051
331,P02749,816.5863162
148,DECOY_P61160,810.8395735
281,P01703,804.9508374
75,DECOY_P05160,803.1508374
319,P02655,802.9589569
316,P02649,792.903786
330,P02748,786.4380147
84,DECOY_P07195,783.4038105
335,P02760,780.1588636
328,P02746,778.6687815
327,P02745,772.3178929
62,DECOY_P03951,768.6784829
228,O75882-2,752.4080611
209,O00391,748.1474341
142,DECOY_P46060,740.1130324
329,P02747,739.7918159
272,P01610,738.8979261
204,DECOY_Q9Y263,709.8447406
49,DECOY_P02679,708.7164437
110,DECOY_P17050,707.3302815
